pr_auc,roc_auc,model,resampler,dataset
0.14174682589222726,0.7724635080162718,Elastic_L50_C5,SMOTEENN,mixed_realistic_w4_n15_d30.csv
0.1335519207681258,0.7737945680784877,Elastic_L50_C5,Random Undersample,mixed_realistic_w4_n15_d30.csv
0.1717124099150662,0.7693527159607563,Elastic_L50_C5,Cluster Centroids,mixed_realistic_w4_n15_d30.csv
0.1491205068119717,0.7775185451064849,Elastic_L50_C5,No Resampling,mixed_realistic_w4_n15_d30.csv
0.038826527056778026,0.5830254515599343,Elastic_L50_C5,Manual Upsampling,noisy_overlap_w2_n20_d0.csv
0.03908287098780871,0.590927750410509,Elastic_L50_C5,SMOTE,noisy_overlap_w2_n20_d0.csv
0.03948308966725271,0.5904915845648605,Elastic_L50_C5,ADASYN,noisy_overlap_w2_n20_d0.csv
0.03370259123103097,0.5768165024630542,Elastic_L50_C5,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv
0.03908287098780871,0.590927750410509,Elastic_L50_C5,SMOTETomek,noisy_overlap_w2_n20_d0.csv
0.039161111180985295,0.5912869458128078,Elastic_L50_C5,SMOTEENN,noisy_overlap_w2_n20_d0.csv
0.03925297642107764,0.5990353037766831,Elastic_L50_C5,Random Undersample,noisy_overlap_w2_n20_d0.csv
0.038574845323020183,0.5722495894909688,Elastic_L50_C5,Cluster Centroids,noisy_overlap_w2_n20_d0.csv
0.039925974131244976,0.584693144499179,Elastic_L50_C5,No Resampling,noisy_overlap_w2_n20_d0.csv
0.6840119792643333,0.9299905508718966,Elastic_L70_C10,Manual Upsampling,baseline_easy_w5_n5_d0.csv
0.6696320822996704,0.9280884536563218,Elastic_L70_C10,SMOTE,baseline_easy_w5_n5_d0.csv
0.5162610035821484,0.9028089680815816,Elastic_L70_C10,ADASYN,baseline_easy_w5_n5_d0.csv
0.5139937786159577,0.9146878719827216,Elastic_L70_C10,Borderline SMOTE,baseline_easy_w5_n5_d0.csv
0.6691271030915584,0.9280148240866866,Elastic_L70_C10,SMOTETomek,baseline_easy_w5_n5_d0.csv
0.6664639967441375,0.9287020334032814,Elastic_L70_C10,SMOTEENN,baseline_easy_w5_n5_d0.csv
0.7104131737355954,0.9297451189731128,Elastic_L70_C10,Random Undersample,baseline_easy_w5_n5_d0.csv
0.6457566664132687,0.9230325565413737,Elastic_L70_C10,Cluster Centroids,baseline_easy_w5_n5_d0.csv
0.6877168627078214,0.9308004761378836,Elastic_L70_C10,No Resampling,baseline_easy_w5_n5_d0.csv
0.14964552535173373,0.7971317654153474,Elastic_L70_C10,Manual Upsampling,high_drift_w3_n10_d60.csv
0.14567879854340496,0.8042740841248305,Elastic_L70_C10,SMOTE,high_drift_w3_n10_d60.csv
0.13929448242884654,0.7991293532338309,Elastic_L70_C10,ADASYN,high_drift_w3_n10_d60.csv
0.1722000086984273,0.8028041610131161,Elastic_L70_C10,Borderline SMOTE,high_drift_w3_n10_d60.csv
