pr_auc,roc_auc,model,resampler,dataset,baseline_pr_auc,beats_baseline
0.13613154347629597,0.8030491481984019,Elastic_L50_C5,SMOTEENN,high_drift_w3_n10_d60.csv,0.0356,True
0.17924428244024634,0.7971129202472486,Elastic_L50_C5,Random Undersample,high_drift_w3_n10_d60.csv,0.0356,True
0.15849548208634662,0.7882368460726669,Elastic_L50_C5,Cluster Centroids,high_drift_w3_n10_d60.csv,0.0356,True
0.14922396768113577,0.7951341775968642,Elastic_L50_C5,No Resampling,high_drift_w3_n10_d60.csv,0.0356,True
0.033209941778387625,0.6199863192587525,Elastic_L50_C5,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03837610613764822,0.6319258752565139,Elastic_L50_C5,SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03673998893035067,0.6307443566942355,Elastic_L50_C5,ADASYN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.02497782360599033,0.6589764318139419,Elastic_L50_C5,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.03837610613764822,0.6319258752565139,Elastic_L50_C5,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.037192294337723066,0.6329208382563274,Elastic_L50_C5,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.01958440952096705,0.5992786518251353,Elastic_L50_C5,Random Undersample,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.04406769578844932,0.5947391331384864,Elastic_L50_C5,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.02272308356333381,0.6415023941297183,Elastic_L50_C5,No Resampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.1483984805106198,0.7730617372577171,Elastic_L50_C5,Manual Upsampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1417195358867841,0.7724036850921273,Elastic_L50_C5,SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.15877754109868902,0.7749312036372338,Elastic_L50_C5,ADASYN,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.15072077838040915,0.7682759033261546,Elastic_L50_C5,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1417195358867841,0.7724036850921273,Elastic_L50_C5,SMOTETomek,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1416386054878924,0.7724036850921273,Elastic_L50_C5,SMOTEENN,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.13329865546300262,0.7737048336922708,Elastic_L50_C5,Random Undersample,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.17135942825532893,0.7692779373055755,Elastic_L50_C5,Cluster Centroids,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14908484500413224,0.7775035893754486,Elastic_L50_C5,No Resampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.038822889043012884,0.5830254515599343,Elastic_L50_C5,Manual Upsampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039092677502417184,0.5910303776683087,Elastic_L50_C5,SMOTE,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03948308966725271,0.5904915845648605,Elastic_L50_C5,ADASYN,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03371048809387569,0.5768165024630542,Elastic_L50_C5,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039092677502417184,0.5910303776683087,Elastic_L50_C5,SMOTETomek,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.039155054477155934,0.5913126026272578,Elastic_L50_C5,SMOTEENN,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03932499173515002,0.5991892446633826,Elastic_L50_C5,Random Undersample,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03865875370379339,0.5727627257799671,Elastic_L50_C5,Cluster Centroids,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.04005443272095747,0.5849497126436781,Elastic_L50_C5,No Resampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.6835384449129935,0.9300150940617753,Elastic_L70_C10,Manual Upsampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6695180469545173,0.9280761820613825,Elastic_L70_C10,SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5170632882909787,0.9031648443348183,Elastic_L70_C10,ADASYN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5140568323435074,0.9147492299574176,Elastic_L70_C10,Borderline SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6689635607537577,0.927978009301869,Elastic_L70_C10,SMOTETomek,baseline_easy_w5_n5_d0.csv,0.0552,True
