Date,Open_CSCO,High_CSCO,Low_CSCO,Close_CSCO,Adj Close_CSCO,Volume_CSCO,Open_ADBE,High_ADBE,Low_ADBE,Close_ADBE,Adj Close_ADBE,Volume_ADBE,Open_FCEL,High_FCEL,Low_FCEL,Close_FCEL,Adj Close_FCEL,Volume_FCEL,Open_AMZN,High_AMZN,Low_AMZN,Close_AMZN,Adj Close_AMZN,Volume_AMZN,Open_AMD,High_AMD,Low_AMD,Close_AMD,Adj Close_AMD,Volume_AMD,Open_ERIC,High_ERIC,Low_ERIC,Close_ERIC,Adj Close_ERIC,Volume_ERIC,Open_FORD,High_FORD,Low_FORD,Close_FORD,Adj Close_FORD,Volume_FORD,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj Close_AAPL,Volume_AAPL
2000-01-18,53.75,56.25,53.625,56.0,36.86912536621094,59568600,16.265625,16.46875,16.0,16.0,15.886810302734377,5201600,32400.0,33210.0,32400.0,32940.0,32940.0,40,3.171875,3.2593750953674316,3.1500000953674316,3.206249952316284,3.206249952316284,107698000,20.0,20.625,19.34375,19.5,19.5,10871400,82.1875,83.4375,80.78125,81.328125,48.55306243896485,3173760,27.5,28.125,25.0,25.0,25.0,1320,0.9017860293388368,0.9464290142059326,0.896763026714325,0.928013026714325,0.7819629907608032,459177600
2000-01-19,55.84375,56.5,54.53125,56.15625,36.97199630737305,45597000,15.929688453674316,16.09375,15.625,15.78125,15.66960906982422,4559200,32805.0,40972.5,32805.0,40500.0,40500.0,180,3.206249952316284,3.375,3.1500000953674316,3.340625047683716,3.340625047683716,164910000,19.875,21.5,19.40625,19.59375,19.59375,8924400,81.875,83.90625,81.71875,83.359375,49.76573181152344,3626720,25.0,26.875,25.0,26.25,26.25,2360,0.9430800080299376,0.970982015132904,0.9229909777641296,0.9514510035514832,0.8017122745513916,597643200
2000-01-20,56.6875,57.5625,55.71875,56.1875,36.99256896972656,41731200,15.90625,16.15625,15.375,15.953125,15.840266227722168,4248800,41040.0,54000.0,39150.0,54000.0,54000.0,480,3.346874952316284,3.3499999046325684,3.1968750953674316,3.237499952316284,3.237499952316284,119560000,21.75,22.5625,19.0,19.5,19.5,28847200,84.140625,84.21875,82.5,83.4375,49.8123779296875,2572720,26.5625,33.125,26.5625,31.25,31.25,14300,1.03125,1.0848209857940674,1.0133930444717407,1.0133930444717407,0.853905975818634,1831132800
2000-01-21,57.4375,57.6875,56.21875,57.625,37.93899154663086,44974600,16.125,16.21875,15.5,15.71875,15.607551574707031,6900000,59400.0,66420.0,56700.0,60480.0,60480.0,629,3.231250047683716,3.231250047683716,3.0,3.1031250953674316,3.1031250953674316,229238000,19.5625,19.5625,18.0625,18.9375,18.9375,11715000,84.0625,84.609375,81.5625,83.4375,49.8123779296875,1817120,28.75,33.125,28.125,30.0,30.0,14900,1.020089030265808,1.020089030265808,0.9838169813156128,0.993861973285675,0.8374485373497009,495924800
2000-01-24,57.875,57.875,54.25,54.53125,35.902137756347656,43787800,15.773438453674316,15.875,15.03125,15.140625,15.033514022827148,5895600,65340.0,68040.0,45900.0,49680.0,49680.0,527,3.378124952316284,3.668750047683716,3.375,3.5062499046325684,3.5062499046325684,583404000,18.625,19.21875,16.90625,17.25,17.25,10269800,86.25,87.5,84.6875,84.6875,50.55862045288086,6276960,30.625,35.0,30.0,33.75,33.75,23200,0.9681919813156128,1.0066959857940674,0.9386159777641296,0.9486610293388368,0.7993614673614502,440876800
2000-01-25,54.25,56.4375,53.53125,56.0625,36.910282135009766,55379800,15.039063453674316,15.84375,14.71875,15.75,15.638579368591309,7566000,49747.5,51300.0,42390.0,47250.0,47250.0,324,3.5,3.5625,3.299999952316284,3.4625000953674316,3.4625000953674316,188682000,17.28125,20.25,17.25,20.0,20.0,10805800,85.546875,87.03125,83.984375,86.09375,51.39814758300781,2505040,34.375,35.625,33.4375,35.3125,35.3125,16240,0.9375,1.010045051574707,0.9140629768371582,1.0022319555282593,0.8445014953613281,497145600
2000-01-26,55.71875,55.875,53.5,53.59375,35.284912109375,35308800,15.78125,16.0625,15.234375,15.296875,15.188661575317385,4466000,46980.0,48060.0,44955.0,46035.0,46035.0,87,3.4312500953674316,3.5,3.237499952316284,3.2406249046325684,3.2406249046325684,131160000,18.8125,19.125,18.28125,18.5,18.5,7597800,86.71875,87.5,85.390625,85.859375,51.25823211669922,2015920,35.0,42.5,35.0,38.75,38.75,21240,0.982142984867096,1.019531011581421,0.9799110293388368,0.9838169813156128,0.8289845585823059,367158400
2000-01-27,54.40625,55.3125,51.875,53.3125,35.099727630615234,47908600,15.203125,16.0,15.203125,15.671875,15.561009407043455,5864400,45765.0,48600.0,45360.0,46035.0,46035.0,46,3.2593750953674316,3.387500047683716,3.231250047683716,3.346874952316284,3.346874952316284,135680000,19.0,19.5,18.4375,18.46875,18.46875,6167800,85.46875,85.546875,80.390625,82.03125,48.97283554077149,3456480,39.53125,45.0,38.75,40.0,40.0,19050,0.9715399742126464,1.0089290142059326,0.955357015132904,0.982142984867096,0.8275740146636963,340144000
2000-01-28,53.28125,54.6875,51.5,51.9375,34.19447708129883,49564400,15.296875,15.46875,14.15625,14.390625,14.288820266723633,5712000,47115.0,47115.0,41445.0,42660.0,42660.0,76,3.25,3.3218750953674316,3.0,3.0843749046325684,3.0843749046325684,275558000,18.59375,18.875,17.1875,17.625,17.625,6867200,90.703125,91.5625,82.5,87.578125,52.28432846069336,11863360,39.6875,40.3125,35.625,37.5,37.5,16230,0.9659600257873536,0.9899550080299376,0.8984379768371582,0.9073659777641296,0.7645653486251831,423348800
2000-01-31,51.46875,54.8125,50.0,54.75,36.0461540222168,66914600,14.28125,14.53125,13.359375,13.765625,13.668243408203123,16459200,41580.0,42525.0,36855.0,40500.0,40500.0,191,3.018749952316284,3.237499952316284,2.921875,3.2281250953674316,3.2281250953674316,213958000,17.625,18.125,17.21875,18.0,18.0,4288800,89.609375,93.671875,87.65625,93.203125,55.64247131347656,7702320,36.875,39.375,36.25,36.875,36.875,4570,0.9017860293388368,0.9274550080299376,0.84375,0.9263389706611632,0.7805526256561279,701680000
2000-02-01,54.890625,59.0625,54.78125,58.90625,38.78253555297851,87263000,13.96875,14.21875,13.78125,13.96875,13.8699312210083,6765600,41580.0,45630.0,39690.0,45495.0,45495.0,145,3.375,3.53125,3.21875,3.371875047683716,3.371875047683716,268092000,18.25,18.375,17.5,18.28125,18.28125,5111200,95.0,100.625,93.203125,99.921875,59.65359115600586,10074160,36.25,39.375,35.0,36.875,36.875,3990,0.9285709857940674,0.9375,0.892857015132904,0.8950889706611633,0.7542204856872559,318035200
2000-02-02,58.0625,58.875,56.5,56.9375,37.48636245727539,68449200,13.984375,15.40625,13.90625,15.328125,15.219686508178713,13409600,45360.0,48195.0,44010.0,48060.0,48060.0,68,3.3968749046325684,3.612499952316284,3.387500047683716,3.471874952316284,3.471874952316284,280518000,18.15625,18.25,17.78125,18.03125,18.03125,4076200,102.1875,103.75,100.234375,100.546875,60.02671813964844,7178720,36.875,37.5,32.1875,37.5,37.5,4820,0.8995540142059326,0.9118300080299376,0.8660709857940674,0.8822540044784546,0.7434055209159851,464195200
2000-02-03,57.4375,59.3125,57.25,58.90625,38.78253555297851,48675200,15.953125,17.28125,15.84375,17.265625,17.14348030090332,19747200,48060.0,53325.0,47925.0,51435.0,51435.0,116,4.056250095367432,4.296875,3.868750095367432,4.209374904632568,4.209374904632568,875000000,18.375,19.6875,18.15625,19.5,19.5,9523800,102.65625,107.96875,102.65625,106.796875,63.75798034667969,6893520,35.0,36.25,32.5,36.25,36.25,2020,0.8956469893455505,0.9308040142059326,0.8950889706611633,0.9224330186843872,0.7772611379623413,475193600
2000-02-04,59.78125,61.25,59.3125,60.5625,39.87299346923828,52970000,17.1796875,18.625,16.75,18.5,18.36912727355957,13516800,51840.0,58320.0,51840.0,54540.0,54540.0,122,4.137499809265137,4.137499809265137,3.893749952316284,3.928124904632568,3.928124904632568,220460000,19.5,20.0625,19.1875,19.28125,19.28125,7109200,105.9375,109.21875,104.66796875,107.5,64.177734375,4832320,35.625,35.625,31.875,35.625,35.625,1640,0.928013026714325,0.982142984867096,0.9252229928970336,0.9642860293388368,0.8125274777412415,425320000
2000-02-07,62.03125,62.6875,61.28125,62.59375,41.210296630859375,48933400,18.4375,19.359375,18.0625,19.265625,19.129331588745117,12919200,55215.0,58320.0,50490.0,52110.0,52110.0,105,3.809375047683716,3.84375,3.65625,3.75,3.75,202580000,19.28125,20.65625,19.0625,20.65625,20.65625,6056600,107.8125,108.4375,105.625,107.1875,63.99118423461914,2472320,33.4375,36.25,33.4375,36.25,36.25,7790,0.9642860293388368,1.020089030265808,0.9458709955215454,1.0184149742126465,0.858137845993042,441067200
2000-02-08,63.9375,64.0,61.84375,62.90625,41.416046142578125,72100800,19.390625,21.0,19.1875,20.9375,20.789379119873047,14297200,52380.0,53865.0,51030.0,51840.0,51840.0,45,3.700000047683716,4.199999809265137,3.671875,4.15625,4.15625,389456000,20.5,21.0,19.59375,20.6875,20.6875,8583800,110.234375,111.875,108.28125,111.25,66.41649627685547,3189040,36.5625,37.5,32.5,35.0,35.0,3020,1.0178569555282593,1.036829948425293,0.9933040142059326,1.025670051574707,0.8642505407333374,408643200
